latitude,longitude,rainfall_24h,soil_moisture,elevation,slope,landslide
25.2568,92.3825,51.9,0.476,802.0,46.0,1
26.149,91.7351,46.1,0.482,52.0,33.5,0
25.1553,93.028,15.3,0.481,565.0,148.0,0
26.159,91.8178,55.8,0.485,68.0,100.0,0
25.5114,90.215,24.4,0.476,305.0,96.5,0
25.5242,92.9914,44.6,0.482,147.0,84.0,0
26.1965,91.763,50.4,0.474,81.0,39.0,0
23.72988966,92.71495623,14.2,0.421,946.0,46.5,0
24.9829,93.5063,3.7,0.397,1284.0,181.0,0
25.3908,94.0926,21.8,0.493,1314.0,42.5,1
24.0896,91.4663,57.9,0.429,107.0,19.5,1
26.1097,91.7747,37.1,0.482,60.0,75.0,1
23.7327,92.7463,19.1,0.425,846.0,41.0,0
24.9336,93.8275,15.6,0.47,1023.0,187.5,0
25.0604,93.9877,21.5,0.489,1485.0,61.5,0
25.6237,94.1136,13.2,0.499,1610.0,291.0,0
26.99195749,88.42280921,19.8,0.422,322.0,213.5,1
25.4538,93.9827,21.8,0.44,1779.0,380.0,0
27.3341,88.6083,4.7,0.388,1418.0,404.0,0
24.9925,93.5,9.4,0.426,1206.0,262.5,0
25.0604,93.9877,21.5,0.489,1485.0,61.5,1
26.1699,91.7986,12.5,0.475,151.0,47.0,0
25.5007,93.9854,21.8,0.44,1437.0,338.5,1
28.0822,96.5316,7.0,0.422,543.0,103.0,1
25.0985,94.3619,5.7,0.399,1889.0,85.5,0
24.8961,93.4957,4.4,0.419,1049.0,565.5,1
24.7459,93.4251,4.7,0.415,769.0,358.0,0
24.9849,92.8411,18.9,0.441,252.0,87.5,0
27.5754,91.9754,6.8,0.414,2379.0,426.0,0
25.5242,92.9914,44.6,0.482,147.0,84.0,1
24.9037,93.487,3.7,0.397,1272.0,177.0,0
23.9939,94.0573,16.4,0.465,968.0,240.0,1
24.9111,94.4759,10.6,0.423,1804.0,134.5,1
27.1954,88.6115,11.8,0.412,487.0,135.0,1
24.7505,93.4221,8.1,0.419,772.0,119.5,0
26.0319,94.5466,15.6,0.471,1581.0,307.5,1
24.7679,93.4108,29.9,0.429,483.0,210.0,1
27.167,88.3652,34.6,0.423,1516.0,14.5,0
24.9786,93.5027,35.6,0.426,1295.0,154.0,0
25.2269,93.1658,8.1,0.468,396.0,32.0,0
25.3056,93.1265,148.6,0.476,285.0,189.5,0
25.1019,93.3729,3.6,0.467,1133.0,109.5,0
25.463,92.2121,40.2,0.466,1372.0,62.0,1
23.7527,92.694,13.0,0.424,793.0,255.5,1
24.6596,93.9784,8.6,0.489,777.0,4.5,1
24.7979,92.9974,37.5,0.456,24.0,4.0,1
25.31006064,94.48265093,16.9,0.466,1571.0,321.5,0
27.3392,88.6188,28.9,0.428,1892.0,266.5,1
24.8961,93.4957,4.4,0.419,1049.0,565.5,0
25.1941,94.4481,8.4,0.446,1713.0,64.0,1
24.004,93.9815,16.4,0.431,1496.0,355.5,0
26.5836,93.0038,8.9,0.498,68.0,6.5,0
26.5836,93.0038,8.9,0.498,68.0,6.5,1
27.05374234,88.42572376,140.2,0.431,287.0,148.0,1
23.73504471,92.71060943,14.2,0.421,977.0,155.0,1
24.4638,92.4943,31.7,0.427,90.0,83.0,1
25.1175,92.8573,154.4,0.476,158.0,134.0,0
25.03561729,94.0144205,8.6,0.476,873.0,32.0,0
24.8628,94.4182,12.3,0.423,922.0,328.0,1
27.5748,91.8644,8.4,0.42,2695.0,245.5,0
24.9336,93.8275,15.6,0.47,1023.0,187.5,1
25.7238,89.9032,7.1,0.41,30.0,29.5,1
24.9037,93.487,3.7,0.397,1272.0,177.0,1
27.8835,96.9262,12.6,0.425,956.0,433.0,1
25.5215,93.1645,2.7,0.465,279.0,13.5,0
26.1699,94.4922,10.2,0.482,1134.0,54.5,1
25.203,90.5573,16.6,0.466,128.0,23.0,1
25.3098633,94.48214677,27.7,0.464,1559.0,327.5,1
26.1771,91.7599,21.7,0.485,66.0,61.5,1
28.9986,94.8885,69.1,0.429,604.0,202.5,0
22.7176,92.8416,19.6,0.426,761.0,195.0,0
26.8727,94.9275,16.4,0.443,128.0,1.5,1
24.4279,94.0564,5.0,0.432,885.0,75.0,0
26.0101,94.5282,1.5,0.459,1701.0,241.5,0
24.9926,93.4946,4.4,0.423,1131.0,135.5,0
25.5098,93.8794,21.8,0.431,1642.0,392.0,1
24.7459,93.4251,4.7,0.415,769.0,358.0,1
23.9939,94.0573,16.4,0.465,968.0,240.0,0
26.1768,91.7702,10.0,0.492,127.0,19.0,1
24.4265,94.1913,16.6,0.424,1299.0,208.0,0
23.7705,92.5217,0.0,0.365,69.0,143.5,0
26.8727,94.9275,16.4,0.443,128.0,1.5,0
26.7223,95.0243,36.6,0.485,692.0,61.0,0
26.1833,91.8,6.7,0.485,67.0,7.0,0
27.3425,88.2426,35.4,0.43,1382.0,723.0,1
26.3185,94.5247,10.3,0.459,1171.0,218.5,0
23.8447,93.0514,15.3,0.421,1053.0,163.5,0
27.36,93.0385,88.3,0.427,404.0,31.5,1
25.3056,93.1265,148.6,0.476,285.0,189.5,1
23.7131,92.7362,8.6,0.396,879.0,212.0,0
28.1737,94.7596,44.4,0.429,610.0,116.5,1
26.1309,91.8383,24.5,0.501,96.0,63.5,1
26.1868,91.6739,35.3,0.473,50.0,5.5,0
27.2872,88.2816,3.0,0.409,574.0,214.0,0
25.5006,90.0896,0.2,0.434,48.0,56.5,1
25.0318,92.4584,0.0,0.256,102.0,169.5,0
26.1965,91.763,50.4,0.474,81.0,39.0,1
25.203,90.5573,16.6,0.466,128.0,23.0,0
23.591,92.9296,15.4,0.424,801.0,350.0,1
27.1675,88.3651,70.3,0.434,1551.0,61.0,0
27.36,93.0385,88.3,0.427,404.0,31.5,0
27.2333,94.1167,0.0,0.355,91.0,3.5,1
24.5204,92.7264,28.0,0.42,40.0,8.5,0
25.1333,93.9667,7.5,0.483,1009.0,32.0,0
27.1761,88.5287,43.3,0.426,314.0,226.5,1
23.73478778,92.72124394,28.3,0.427,972.0,116.0,1
25.1718,93.123,7.3,0.488,693.0,71.0,0
27.1249,93.7706,0.0,0.35,151.0,50.0,0
25.7713,93.8067,26.6,0.466,235.0,146.5,1
22.479,92.967,0.8,0.394,472.0,355.0,0
25.5145,90.2023,50.3,0.472,279.0,41.5,1
26.1985,91.7998,55.8,0.485,92.0,73.0,1
24.6005,92.3814,3.1,0.452,70.0,20.0,1
23.7365,92.7146,17.2,0.422,1010.0,122.0,0
24.3481,94.1146,17.3,0.435,995.0,103.0,1
27.0136,92.6351,25.6,0.461,231.0,112.5,0
24.808,93.117,8.9,0.421,38.0,3.5,1
28.8254,96.1509,0.7,0.386,3620.0,278.0,0
25.7354,90.3852,10.1,0.463,334.0,67.0,1
26.1468,91.6469,0.3,0.249,52.0,50.0,0
24.5308,92.5121,31.7,0.427,67.0,20.5,0
22.533,92.899,0.8,0.397,793.0,157.5,0
25.7354,90.3852,10.1,0.463,334.0,67.0,0
25.5125,93.3613,3.7,0.449,320.0,123.5,1
25.426,94.6024,0.0,0.371,1311.0,150.0,1
26.1966,91.802,19.0,0.475,107.0,31.5,1
25.6633,94.4703,26.2,0.49,1443.0,60.5,1
23.73504471,92.71060943,14.2,0.421,977.0,155.0,0
27.0816,88.4397,2.6,0.408,240.0,108.5,0
25.0318,92.4584,0.0,0.256,102.0,169.5,1
24.9667,93.55,68.7,0.427,585.0,150.5,1
26.1548,91.7351,12.4,0.492,55.0,25.0,1
26.1548,91.7351,12.4,0.492,55.0,25.0,0
28.8254,96.1509,0.7,0.386,3620.0,278.0,1
