event_id,date,state,latitude,longitude,rainfall_24h,soil_moisture,landslide
2164,2010-07-29,Manipur,25.3098633,94.48214677,27.7,0.464,1
7370,2015-08-01,Manipur,24.1419,94.1078,17.3,0.473,1
1109,2009-08-20,Assam,25.5215,93.1645,2.7,0.465,1
322,2007-10-21,Assam,24.75,93.4333,1.4,0.405,1
5552,2013-09-24,Manipur,25.0985,94.3619,5.7,0.399,1
7031,2015-05-24,Sikkim,27.6163,88.6586,15.1,0.425,1
9405,2016-04-19,Nagaland,26.7223,95.0243,36.6,0.485,1
5343,2013-08-17,Assam,24.7625,93.4341,12.5,0.42,1
6971,2015-06-09,Arunachal Pradesh,27.0987,93.816,62.9,0.429,1
1611,2010-04-01,Assam,25.1553,93.028,15.3,0.481,1
147,2007-07-30,Mizoram,22.533,92.899,0.8,0.397,1
4382,2012-06-03,Assam,25.1175,92.8573,154.4,0.476,1
1112,2009-08-20,Sikkim,27.1761,88.5287,43.3,0.426,1
2424,2010-09-13,Mizoram,23.591,92.9296,15.4,0.424,1
78,2007-05-23,Sikkim,27.3383,88.6069,15.8,0.425,1
5431,2013-09-01,Assam,24.9829,93.5063,3.7,0.397,1
3672,2011-06-29,Assam,25.5125,93.3613,3.7,0.449,1
2253,2010-08-15,Manipur,25.31006064,94.48265093,16.9,0.466,1
1108,2009-08-20,Assam,24.9925,93.5,9.4,0.426,1
6105,2014-06-26,Arunachal Pradesh,28.9205,95.3429,9.2,0.424,1
9168,2016-06-12,Arunachal Pradesh,27.6438,93.871,11.6,0.423,1
3560,2011-05-31,Manipur,24.8286,93.5935,23.2,0.442,1
587,2008-06-15,Assam,27.2298,94.0989,1.8,0.395,1
8012,2015-09-06,Meghalaya,25.9703,91.8584,7.7,0.47,1
7335,2015-08-18,Meghalaya,25.5145,90.2023,50.3,0.472,1
3983,2011-09-23,Assam,26.1548,91.7351,12.4,0.492,1
148,2007-07-30,Mizoram,22.479,92.967,0.8,0.394,1
7385,2015-08-01,Manipur,24.004,93.9815,16.4,0.431,1
2575,2010-10-09,Assam,25.5242,92.9914,44.6,0.482,1
3840,2011-07-25,Manipur,24.6869,93.9157,1.7,0.429,1
6015,2014-05-08,Arunachal Pradesh,27.9032,96.174,51.3,0.486,1
9051,2016-07-19,Meghalaya,26.09748244,91.8744337,34.5,0.478,1
2392,2010-09-04,Sikkim,27.3702,88.7334,16.7,0.426,1
3830,2011-07-22,Manipur,24.3527,94.3429,25.7,0.447,1
1755,2010-04-17,Sikkim,27.3341,88.6083,4.7,0.388,1
6990,2015-06-24,Nagaland,26.0319,94.5466,15.6,0.471,1
6222,2014-10-01,Arunachal Pradesh,27.1249,93.7706,0.0,0.35,1
9169,2016-06-12,Nagaland,26.1677,94.2442,10.1,0.483,1
2344,2010-08-27,Assam,24.7505,93.4221,8.1,0.419,1
7263,2015-07-22,Manipur,25.4477,94.0489,21.8,0.429,1
4424,2012-06-20,Assam,26.149,91.7351,46.1,0.482,1
3525,2011-05-22,Assam,25.0672,93.4093,35.0,0.426,1
7369,2015-08-01,Manipur,24.1988,94.1016,17.3,0.428,1
4377,2012-06-02,Assam,26.1475,91.7356,19.2,0.488,1
5430,2013-09-01,Manipur,24.9037,93.487,3.7,0.397,1
7264,2015-07-22,Manipur,25.4538,93.9827,21.8,0.44,1
