event_id,date,state,latitude,longitude,rainfall_24h,soil_moisture,landslide
non_2253,2010-08-05,Manipur,25.31006064,94.48265093,16.9,0.466,0
8900,2016-07-07,Manipur,25.0118,94.3136,2.8,0.416,1
non_2344,2010-09-16,Assam,24.7505,93.4221,8.1,0.419,0
1756,2010-04-17,Sikkim,27.322,88.6087,4.7,0.388,1
8995,2016-07-14,Assam,26.1963,91.8074,10.0,0.492,1
non_3840,2011-07-05,Manipur,24.6869,93.9157,1.7,0.429,0
non_2437,2010-09-06,Mizoram,23.7527,92.694,13.0,0.424,0
545,2008-05-20,Assam,24.9849,92.8411,18.9,0.441,1
9186,2016-07-25,Manipur,25.48,94.1383,16.6,0.489,1
4848,2013-05-08,Tripura,24.0896,91.4663,57.9,0.429,1
1611,2010-04-01,Assam,25.1553,93.028,15.3,0.481,1
2345,2010-08-27,Sikkim,27.3392,88.6188,28.9,0.428,1
non_4908,2013-06-23,Sikkim,27.3721,88.708,16.4,0.428,0
1596,2010-03-27,Manipur,24.7339,93.9161,2.5,0.176,1
non_4407,2012-06-28,Assam,25.0951,92.3567,12.8,0.472,0
non_4556,2012-09-26,Sikkim,27.1675,88.3651,70.3,0.434,0
non_2574,2010-10-24,Assam,25.4749,93.1477,36.5,0.484,0
6015,2014-05-08,Arunachal Pradesh,27.9032,96.174,51.3,0.486,1
non_3662,2011-06-18,Manipur,25.03561729,94.0144205,8.6,0.476,0
non_9334,2016-04-18,Assam,24.5204,92.7264,28.0,0.42,0
non_9604,2016-09-22,Sikkim,27.2676,88.2891,121.6,0.425,0
non_7837,2015-09-16,Mizoram,23.7269,92.7265,4.1,0.415,0
7375,2015-08-01,Manipur,25.1941,94.4481,8.4,0.446,1
7972,2015-08-28,Mizoram,23.4495,92.8112,1.3,0.406,1
7701,2015-08-19,Nagaland,25.6278,94.1051,22.4,0.478,1
non_2205,2010-08-26,Mizoram,23.7365,92.7146,17.2,0.422,0
non_7384,2015-07-22,Manipur,23.9278,94.0906,16.4,0.489,0
non_9620,2016-09-25,Sikkim,27.172,88.5292,0.0,0.391,0
6287,2014-09-22,Assam,26.1295,91.7056,55.8,0.482,1
non_1596,2010-03-17,Manipur,24.7339,93.9161,2.5,0.176,0
non_7264,2015-07-12,Manipur,25.4538,93.9827,21.8,0.44,0
211,2007-08-26,Manipur,24.9667,93.55,68.7,0.427,1
non_5582,2013-09-21,Assam,26.1309,91.8383,24.5,0.501,0
580,2008-06-09,Manipur,24.6596,93.9784,8.6,0.489,1
1109,2009-08-20,Assam,25.5215,93.1645,2.7,0.465,1
