event_id,event_date,event_title,country_name,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count
2164,07/29/2010 11:00:00 PM,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",India,Manipur,25.3098633,94.48214677,landslide,downpour,medium,0.0,
7370,08/01/2015 12:00:00 AM,between Moltuk to New Songjang village,India,Manipur,24.1419,94.1078,landslide,continuous_rain,medium,0.0,0.0
1109,08/20/2009 12:00:00 AM,Lumding-Badarpur section in North Cachar Hills district,India,Assam,25.5215,93.1645,landslide,downpour,medium,0.0,
322,10/21/2007 12:00:00 AM,National Highway 53 at Nungba in Tamenglong district of Manipur,India,Assam,24.75,93.4333,landslide,rain,medium,,
5552,09/24/2013 12:00:00 AM,"Ukhrul, Manipur",India,Manipur,25.0985,94.3619,landslide,unknown,medium,,
7031,05/24/2015 12:00:00 AM,"Bop, Sikkim",India,Sikkim,27.6163,88.6586,landslide,unknown,medium,0.0,0.0
9405,04/19/2016 12:00:00 AM,"Techahan Ward, Mon, Nagaland, India",India,Nagaland,26.7223,95.0243,landslide,continuous_rain,medium,0.0,0.0
5343,08/17/2013 11:00:00 PM,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,India,Assam,24.7625,93.4341,landslide,continuous_rain,medium,,
6971,06/09/2015 12:00:00 AM,"Itanagar, Arunachal Pradesh",India,Arunachal Pradesh,27.0987,93.816,landslide,continuous_rain,medium,2.0,2.0
1611,04/01/2010 12:00:00 AM,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",India,Assam,25.1553,93.028,landslide,downpour,medium,3.0,
147,07/30/2007 12:00:00 AM,Lawngtlai,India,Mizoram,22.533,92.899,landslide,downpour,medium,,
4382,06/03/2012 12:00:00 AM," between Harangajao and Mailongdisa, Assa,",India,Assam,25.1175,92.8573,landslide,downpour,medium,,
1112,08/20/2009 12:00:00 AM,"NH31A, Mile 27 near Rambi",India,Sikkim,27.1761,88.5287,mudslide,downpour,medium,0.0,
2424,09/13/2010 12:00:00 AM,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",India,Mizoram,23.591,92.9296,landslide,downpour,medium,0.0,
78,05/23/2007 12:00:00 AM,"Pangthang, on road b/t Gangtok and North Sikkim",India,Sikkim,27.3383,88.6069,landslide,rain,medium,,
5431,09/01/2013 12:00:00 AM,"Tamenglong, Manipur",India,Assam,24.9829,93.5063,mudslide,continuous_rain,medium,0.0,
3672,06/29/2011 12:00:00 AM,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",India,Assam,25.5125,93.3613,landslide,downpour,medium,0.0,
2253,08/15/2010 11:00:00 PM,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",India,Manipur,25.31006064,94.48265093,landslide,downpour,medium,0.0,
1108,08/20/2009 12:00:00 AM,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",India,Assam,24.9925,93.5,landslide,downpour,medium,0.0,
6105,06/26/2014 11:00:00 PM,Arunachal Pradesh,India,Arunachal Pradesh,28.9205,95.3429,landslide,continuous_rain,medium,0.0,0.0
9168,06/12/2016 11:00:00 PM,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",India,Arunachal Pradesh,27.6438,93.871,landslide,downpour,medium,0.0,0.0
3560,05/31/2011 02:30:00 PM,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",India,Manipur,24.8286,93.5935,landslide,downpour,medium,2.0,
587,06/15/2008 12:00:00 AM,"Lakhimpur district, Bihpuria, Assam",India,Assam,27.2298,94.0989,landslide,downpour,medium,17.0,
