event_id,date,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size
2164,2010-07-29,Manipur,25.3098633,94.48214677,landslide,downpour,medium
7370,2015-08-01,Manipur,24.1419,94.1078,landslide,continuous_rain,medium
1109,2009-08-20,Assam,25.5215,93.1645,landslide,downpour,medium
322,2007-10-21,Assam,24.75,93.4333,landslide,rain,medium
5552,2013-09-24,Manipur,25.0985,94.3619,landslide,unknown,medium
7031,2015-05-24,Sikkim,27.6163,88.6586,landslide,unknown,medium
9405,2016-04-19,Nagaland,26.7223,95.0243,landslide,continuous_rain,medium
5343,2013-08-17,Assam,24.7625,93.4341,landslide,continuous_rain,medium
6971,2015-06-09,Arunachal Pradesh,27.0987,93.816,landslide,continuous_rain,medium
1611,2010-04-01,Assam,25.1553,93.028,landslide,downpour,medium
147,2007-07-30,Mizoram,22.533,92.899,landslide,downpour,medium
4382,2012-06-03,Assam,25.1175,92.8573,landslide,downpour,medium
1112,2009-08-20,Sikkim,27.1761,88.5287,mudslide,downpour,medium
2424,2010-09-13,Mizoram,23.591,92.9296,landslide,downpour,medium
78,2007-05-23,Sikkim,27.3383,88.6069,landslide,rain,medium
5431,2013-09-01,Assam,24.9829,93.5063,mudslide,continuous_rain,medium
3672,2011-06-29,Assam,25.5125,93.3613,landslide,downpour,medium
2253,2010-08-15,Manipur,25.31006064,94.48265093,landslide,downpour,medium
1108,2009-08-20,Assam,24.9925,93.5,landslide,downpour,medium
6105,2014-06-26,Arunachal Pradesh,28.9205,95.3429,landslide,continuous_rain,medium
9168,2016-06-12,Arunachal Pradesh,27.6438,93.871,landslide,downpour,medium
3560,2011-05-31,Manipur,24.8286,93.5935,landslide,downpour,medium
587,2008-06-15,Assam,27.2298,94.0989,landslide,downpour,medium
8012,2015-09-06,Meghalaya,25.9703,91.8584,landslide,unknown,medium
7335,2015-08-18,Meghalaya,25.5145,90.2023,landslide,continuous_rain,medium
3983,2011-09-23,Assam,26.1548,91.7351,landslide,downpour,large
148,2007-07-30,Mizoram,22.479,92.967,landslide,downpour,medium
7385,2015-08-01,Manipur,24.004,93.9815,landslide,continuous_rain,medium
2575,2010-10-09,Assam,25.5242,92.9914,landslide,downpour,medium
3840,2011-07-25,Manipur,24.6869,93.9157,landslide,downpour,medium
6015,2014-05-08,Arunachal Pradesh,27.9032,96.174,mudslide,rain,medium
9051,2016-07-19,Meghalaya,26.09748244,91.8744337,landslide,unknown,medium
2392,2010-09-04,Sikkim,27.3702,88.7334,landslide,downpour,medium
3830,2011-07-22,Manipur,24.3527,94.3429,landslide,downpour,small
1755,2010-04-17,Sikkim,27.3341,88.6083,landslide,downpour,small
6990,2015-06-24,Nagaland,26.0319,94.5466,landslide,continuous_rain,medium
6222,2014-10-01,Arunachal Pradesh,27.1249,93.7706,landslide,unknown,small
9169,2016-06-12,Nagaland,26.1677,94.2442,landslide,continuous_rain,unknown
2344,2010-08-27,Assam,24.7505,93.4221,landslide,downpour,medium
7263,2015-07-22,Manipur,25.4477,94.0489,landslide,continuous_rain,medium
4424,2012-06-20,Assam,26.149,91.7351,landslide,downpour,medium
3525,2011-05-22,Assam,25.0672,93.4093,landslide,downpour,medium
7369,2015-08-01,Manipur,24.1988,94.1016,landslide,continuous_rain,medium
4377,2012-06-02,Assam,26.1475,91.7356,landslide,downpour,large
5430,2013-09-01,Manipur,24.9037,93.487,mudslide,continuous_rain,medium
7264,2015-07-22,Manipur,25.4538,93.9827,landslide,continuous_rain,medium
256,2007-09-10,Sikkim,27.3425,88.6236,landslide,rain,medium
9335,2016-05-18,Assam,24.5202,92.7239,landslide,continuous_rain,unknown
7279,2015-07-24,Manipur,24.9818,93.5142,mudslide,monsoon,medium
6288,2014-09-22,Assam,26.1985,91.7998,landslide,rain,small
258,2007-09-11,Manipur,24.4279,94.0564,landslide,rain,medium
5338,2013-08-16,Assam,26.8727,94.9275,landslide,rain,medium
6143,2014-07-14,Mizoram,23.7327,92.7463,landslide,downpour,medium
4908,2013-06-08,Sikkim,27.3721,88.708,landslide,downpour,medium
9124,2016-07-19,Meghalaya,25.203,90.5573,translational_slide,continuous_rain,large
9338,2016-05-18,Assam,24.4638,92.4943,landslide,continuous_rain,medium
2421,2010-09-13,Mizoram,23.75406693,92.74128531,landslide,downpour,medium
8901,2016-07-10,Nagaland,25.7902,94.1318,landslide,downpour,medium
